10000,0.0000089128,0.0002855626
20000,0.0000169707,0.0006480910
30000,0.0000263854,0.0013450931
40000,0.0000351044,0.0018186305
50000,0.0000421208,0.0023607402
60000,0.0000499466,0.0028075708
70000,0.0000634028,0.0034045182
80000,0.0000789764,0.0039612094
90000,0.0000805170,0.0043534787
100000,0.0000869154,0.0046662784
